a52dec 0.8.0-2.1
abseil-cpp 20250814.1-1.1
accountsservice 23.13.9-2.1
acl 2.3.2-1.1
adobe-source-han-sans-cn-fonts 2.005-1
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-sans-kr-fonts 2.005-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.15.1-1.1
alsa-card-profiles 1:1.4.8-2.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1.1
alsa-plugins 1:1.2.12-4.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1.1
amd-ucode 1:20250808-1
ananicy-cpp 1.1.1-7.1
aom 3.13.1-1.1
aquamarine 0.9.4-2.1
archlinux-keyring 20250807.1-1
at-spi2-core 2.58.0-1.1
atkmm 2.28.4-1.1
attr 2.5.2-1.1
audit 4.0.5-1.1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1.1
awesome-terminal-fonts 1.1.0-5
base 3-2
base-devel 1-2
bash 5.3.3-3
bash-completion 2.16.0-1
bat 0.25.0-4.1
bemenu 0.6.23-1.1
bemenu-wayland 0.6.23-1.1
bind 9.20.13-1.1
binutils 2.45+r29+g2b2e51a31ec7-2
bison 3.8.2-8.1
bluez 5.84-1.1
bluez-hid2hci 5.84-1.1
bluez-libs 5.84-1.1
bluez-utils 5.84-1.1
boost-libs 1.88.0-3.1
bpf 6.16-3
brightnessctl 0.5.1-3
brotli 1.1.0-3.1
btop 1.4.5-1.1
btrfs-assistant 2.2-2.1
btrfs-progs 6.16.1-1
bubblewrap 0.11.0-1.1
bzip2 1.0.8-6.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.116-1.1
ca-certificates-utils 20240618-1
cachyos-alacritty-config 1.0-1
cachyos-ananicy-rules 1:1.1.0-1
cachyos-fish-config 15-1
cachyos-hello 0.18.3-1
cachyos-hooks 2025.09.22-1
cachyos-hyprland-settings 1.4.4-1
cachyos-kernel-manager 1.16.0-1
cachyos-keyring 20240331-1
